E_γ[eV]  opacity[cm^2/g]
1.5739e+0 2.2204e+4
1.5750e+0 1.6707e+4
1.5750e+0 1.8853e+4
1.5784e+0 1.4918e+4
1.5835e+0 1.2827e+4
1.5841e+0 1.0252e+4
1.5852e+0 1.1281e+4
1.5936e+0 8.9365e+3
1.6059e+0 1.0461e+4
1.6094e+0 9.1317e+3
1.6129e+0 1.2352e+4
1.6220e+0 1.4629e+4
1.6257e+0 1.6541e+4
1.6269e+0 1.9045e+4
1.6375e+0 1.2353e+4
1.6411e+0 1.0621e+4
1.6422e+0 1.4807e+4
1.6503e+0 9.4408e+3
1.6632e+0 8.4938e+3
1.6733e+0 7.1720e+3
1.6769e+0 6.2369e+3
1.6806e+0 8.0932e+3
1.6864e+0 5.5986e+3
1.6952e+0 4.7945e+3
1.6966e+0 4.1141e+3
1.7025e+0 3.5804e+3
1.7025e+0 5.4650e+3
1.7062e+0 3.1018e+3
1.7136e+0 2.5682e+3
1.7232e+0 2.2351e+3
1.7454e+0 2.3547e+3
1.7473e+0 2.6471e+3
1.7510e+0 3.1099e+3
1.7739e+0 3.4049e+3
1.7778e+0 2.8693e+3
1.7793e+0 2.4845e+3
1.7839e+0 2.1298e+3
1.7932e+0 1.5370e+3
1.7948e+0 1.8093e+3
1.7971e+0 1.3776e+3
1.8025e+0 9.7994e+2
1.8025e+0 1.1571e+3
1.8110e+0 8.0630e+2
1.8206e+0 6.7739e+2
1.8284e+0 5.9578e+2
1.8515e+0 5.1655e+2
1.8684e+0 4.6614e+2
1.9010e+0 4.8900e+2
1.9120e+0 5.7594e+2
1.9175e+0 6.7492e+2
1.9300e+0 4.8048e+2
1.9342e+0 4.1469e+2
1.9342e+0 5.5882e+2
1.9426e+0 3.5926e+2
1.9510e+0 3.1361e+2
1.9609e+0 2.8897e+2
1.9869e+0 2.6547e+2
2.0095e+0 2.6131e+2
2.0206e+0 3.0361e+2
2.0311e+0 3.5312e+2
2.0372e+0 4.1162e+2
2.0487e+0 4.7478e+2
2.0668e+0 5.4915e+2
2.0971e+0 5.8838e+2
2.1117e+0 5.4231e+2
2.1319e+0 4.5931e+2
2.1337e+0 3.9018e+2
2.1365e+0 5.3419e+2
2.1388e+0 2.8977e+2
2.1411e+0 3.3956e+2
2.1531e+0 2.4727e+2
2.1644e+0 2.2080e+2
2.1927e+0 2.6137e+2
2.2069e+0 2.9867e+2
2.2117e+0 3.4045e+2
2.2223e+0 4.0830e+2
2.2319e+0 4.8797e+2
2.2552e+0 5.5622e+2
2.2650e+0 4.7346e+2
2.2797e+0 3.7324e+2
2.2797e+0 4.1018e+2
2.3145e+0 3.4654e+2
2.3145e+0 3.9104e+2
2.3195e+0 3.0556e+2
2.3265e+0 2.6272e+2
2.3326e+0 2.2318e+2
2.3498e+0 1.8988e+2
2.3702e+0 1.6638e+2
2.3918e+0 1.8733e+2
2.4011e+0 2.1754e+2
2.4314e+0 2.3285e+2
2.4325e+0 2.6675e+2
2.4547e+0 2.0573e+2
2.4643e+0 1.8013e+2
2.4857e+0 1.3777e+2
2.4893e+0 1.5963e+2
2.4964e+0 1.2679e+2
2.5280e+0 1.4276e+2
2.5290e+0 1.6329e+2
2.5290e+0 1.8427e+2
2.5290e+0 2.0793e+2
2.5645e+0 1.2728e+2
