E_γ[eV]  opacity[cm^2/g]
6.5960e-1 1.0790e+2
6.6335e-1 1.3525e+2
6.6713e-1 1.6729e+2
6.7093e-1 2.0693e+2
6.7475e-1 2.5710e+2
6.7859e-1 3.2949e+2
6.8244e-1 3.7633e+2
6.8633e-1 4.7242e+2
6.9023e-1 5.7750e+2
6.9416e-1 6.9765e+2
6.9811e-1 8.4780e+2
7.0208e-1 1.0122e+3
7.0607e-1 1.2084e+3
7.1009e-1 1.4427e+3
7.1413e-1 1.7122e+3
7.1819e-1 2.0202e+3
7.2227e-1 2.3555e+3
7.2637e-1 2.7628e+3
7.3050e-1 3.1836e+3
7.3465e-1 3.6685e+3
7.3883e-1 4.2272e+3
7.4302e-1 4.8710e+3
7.4725e-1 5.7132e+3
7.5150e-1 6.7807e+3
7.6005e-1 8.0003e+3
7.6871e-1 1.0623e+4
7.7746e-1 1.2795e+4
7.8631e-1 1.5208e+4
7.9526e-1 1.7603e+4
8.0431e-1 2.0707e+4
8.1807e-1 2.3861e+4
8.3441e-1 2.6814e+4
8.5348e-1 2.8153e+4
8.7298e-1 2.8154e+4
8.9292e-1 2.8913e+4
9.1333e-1 3.0627e+4
9.3421e-1 3.4063e+4
9.5556e-1 3.7551e+4
9.7740e-1 3.8223e+4
9.9690e-1 3.5242e+4
1.0101e+0 3.0765e+4
1.0216e+0 2.7016e+4
1.0312e+0 2.3377e+4
1.0400e+0 2.0287e+4
1.0488e+0 1.5690e+4
1.0488e+0 1.7144e+4
1.0567e+0 1.3457e+4
1.0626e+0 1.1678e+4
1.0686e+0 1.0135e+4
1.0747e+0 8.7434e+3
1.0817e+0 7.7235e+3
1.0848e+0 6.6240e+3
1.0909e+0 5.5484e+3
1.0971e+0 4.7026e+3
1.1032e+0 3.7351e+3
1.1095e+0 3.1471e+3
1.1157e+0 2.5897e+3
1.1178e+0 2.1564e+3
1.1251e+0 1.7983e+3
1.1326e+0 1.5219e+3
1.1368e+0 1.1667e+3
1.1443e+0 9.1306e+2
1.1443e+0 1.0428e+3
1.1507e+0 7.5136e+2
1.1572e+0 5.9942e+2
1.1637e+0 4.8246e+2
1.1703e+0 3.8319e+2
1.1769e+0 3.0435e+2
1.1835e+0 2.4173e+2
1.1902e+0 1.9285e+2
1.2003e+0 1.5522e+2
1.2070e+0 1.2586e+2
1.2276e+0 1.1934e+2
1.2346e+0 1.3752e+2
1.2416e+0 1.6589e+2
1.2487e+0 2.1166e+2
1.2558e+0 2.7367e+2
1.2630e+0 3.4763e+2
1.2630e+0 3.8662e+2
1.2702e+0 4.6363e+2
1.2774e+0 5.9155e+2
1.2847e+0 7.4479e+2
1.2883e+0 8.8918e+2
1.2979e+0 1.2146e+3
1.2993e+0 1.0616e+3
1.3068e+0 1.5957e+3
1.3142e+0 2.0091e+3
1.3179e+0 2.3986e+3
1.3292e+0 3.0876e+3
1.3368e+0 3.8362e+3
1.3444e+0 4.8157e+3
1.3520e+0 5.7493e+3
1.3597e+0 6.9047e+3
1.3674e+0 8.2921e+3
1.3752e+0 9.8414e+3
1.3830e+0 1.1340e+4
1.3929e+0 1.3321e+4
1.4008e+0 1.5763e+4
1.4147e+0 1.9412e+4
1.4308e+0 2.3695e+4
1.4471e+0 2.7792e+4
1.4760e+0 3.3327e+4
1.5098e+0 3.4225e+4
1.5399e+0 3.0593e+4
1.5573e+0 2.5891e+4
1.5750e+0 2.1401e+4
1.5928e+0 1.6997e+4
1.6018e+0 1.4112e+4
1.6109e+0 1.2032e+4
1.6199e+0 1.0258e+4
1.6291e+0 8.6944e+3
1.6360e+0 7.1652e+3
1.6413e+0 6.0283e+3
1.6549e+0 4.9257e+3
1.6599e+0 3.9634e+3
1.6708e+0 3.4804e+3
1.6755e+0 2.9674e+3
1.6786e+0 2.4855e+3
1.6913e+0 2.1191e+3
1.7040e+0 1.6831e+3
1.7233e+0 1.2235e+3
